ymd,hm,ta,weekday,weekend,max_power,spring,summer,autoum,winter,CDD,HDD,multiple_season
2022-02-19,53.773809523809526,-0.3107142857142857,0,1,70632.0,0,0,0,1,0.0,18.945238095238096,-4834.830679732773
2022-02-20,40.92857142857143,-2.9785714285714286,0,1,69629.0,0,0,0,1,0.0,22.133333333333333,-6727.133784364878
2022-02-21,41.89285714285714,2.5994047619047618,1,0,82900.0,0,0,0,1,0.0,20.253869047619048,6906.409375897859
2022-02-22,46.345238095238095,-2.128571428571429,1,0,83250.0,0,0,0,1,0.0,21.402976190476192,6456.532108489862
2022-02-23,46.14285714285714,-7.273214285714285,1,0,85491.0,0,0,0,1,0.0,23.030952380952378,7750.668519500718
2022-02-24,58.86309523809524,-8.321428571428571,1,0,83455.0,0,0,0,1,0.0,20.889880952380953,7777.04582407686
2022-02-25,87.16071428571428,-3.966666666666667,1,0,80824.0,0,0,0,1,0.0,16.276190476190475,6764.4650806082045
2022-02-26,86.41071428571428,3.923809523809524,0,1,67374.0,0,0,0,1,0.0,12.452380952380953,-6737.980786657994
2022-02-27,57.32738095238095,5.129761904761905,0,1,64965.0,0,0,0,1,0.0,14.545238095238094,-10044.818725107843
2022-02-28,85.96428571428572,1.5333333333333334,1,0,73959.0,0,0,0,1,0.0,12.04672619047619,899.1576295135899
2022-03-01,65.64920634920635,5.720220458553792,0,1,69920.0,1,0,0,0,0.0,12.269510582010582,-1021.5892856404466
2022-03-02,73.1620811287478,-1.4019929453262785,1,0,77502.0,1,0,0,0,0.0,14.901873897707231,1625.905808686854
2022-03-03,86.06234567901235,0.1727072310405644,1,0,77182.0,1,0,0,0,0.0,12.328179012345679,1913.643001396521
2022-03-04,75.586860670194,1.7427336860670193,1,0,78189.0,1,0,0,0,0.0,10.486569664902998,2698.5472167715284
2022-03-05,36.19285714285714,2.8367548500881834,0,1,66379.0,1,0,0,0,0.0,13.911499118165786,-8024.171523319524
2022-03-06,38.32848324514991,2.85026455026455,0,1,64709.0,1,0,0,0,0.0,15.584523809523809,-8907.998180467086
2022-03-07,56.06657848324515,0.0007407407407407,1,0,77345.0,1,0,0,0,0.0,15.066058201058201,2717.2506402969602
